name,relaxed,gs,best,gap,gap_dir,gap_gllbsc,gap_gllbsc_dir,gap_hse,gap_hse_dir,alphax,alphay,alphaz
Ag2Br2,TRUE,TRUE,nm,1.260074435,1.9154002,2.654251944,3.284848925,2.463774715,3.216714881,2.28086617,2.309635532,0.385324397
Ag2I2,TRUE,TRUE,nm,1.858364406,1.858364406,3.510173485,3.510173485,nan,nan,1.872390917,1.872396363,0.417378279
AgNO2,TRUE,TRUE,nm,1.68463369,2.185312938,3.367876198,3.844920624,3.251098515,3.89293351,0.617679009,0.96246984,0.190140047
AgO4Cl,TRUE,TRUE,nm,2.838799411,3.650600765,5.706700621,6.535437803,4.799871165,5.767061628,0.539521265,0.539521265,0.166838837
Al2O2Cl2,TRUE,TRUE,nm,5.733922329,5.983761505,9.49804198,9.552623917,nan,nan,1.33213675,1.043396189,0.404486191
As4,TRUE,TRUE,nm,0.751690673,0.85690981,1.445568797,1.494947063,nan,nan,6.775339839,7.864409328,0.378376638
Au2Br2,TRUE,TRUE,nm,1.979504793,1.979504793,3.376653649,3.399860319,2.984485324,2.984485324,2.12576058,2.132369317,0.387021459
Au2I2,TRUE,TRUE,nm,1.936065323,2.141099803,3.156341354,3.628367982,2.959479131,3.155836667,2.282400151,2.331196679,0.451761245
Au2Se2,TRUE,TRUE,nm,0.94781871,1.440825109,1.596666499,2.114613218,1.769441641,2.174445891,4.133317381,2.54669355,0.305030697
Ba2H2I2,TRUE,TRUE,nm,3.234321087,3.311084047,5.913583068,5.966675119,nan,nan,1.956793808,1.956799123,0.513732437
Bi2,TRUE,TRUE,nm,0.54927041,0.693756259,0.562264237,0.64966304,nan,nan,9.081714438,9.081714438,0.355575258
Bi2O2Br2,TRUE,TRUE,nm,1.974780145,2.301084815,3.960682782,4.379145286,nan,nan,3.822277814,3.822278862,0.53537486
Bi2O2Cl2,TRUE,TRUE,nm,2.347322178,2.979975889,4.388823481,5.024768996,nan,nan,3.154610006,3.154607614,0.47762387
Bi2O2I2,TRUE,TRUE,nm,1.057560885,1.191650707,2.48693407,2.619834359,nan,nan,5.12591784,5.12591585,0.614260362
Bi2Se3,TRUE,TRUE,nm,0.277061935,0.644353211,1.100304235,1.388826021,nan,nan,12.72547706,12.72547706,0.702271976
Bi2Te2S,TRUE,TRUE,nm,0,0,0.896588939,1.011859096,nan,nan,16.75640263,16.75640263,0.728253745
Bi2Te2Se,TRUE,TRUE,nm,0,0,0.785222964,0.899255973,nan,nan,16.28738848,16.28738848,0.758797128
Bi2Te3,TRUE,TRUE,nm,0,0,0.785757521,0.957804828,nan,nan,18.89995932,18.89995932,0.780961397
Bi2TeSe2,TRUE,TRUE,nm,0.110021436,0.110021436,1.057912652,1.057912652,nan,nan,15.57992904,15.57992904,0.722072123
BiTeCl,TRUE,TRUE,nm,0.635355207,0.635355207,1.712705615,1.712705615,nan,nan,4.409344933,4.409344933,0.394894427
BiTeI,TRUE,TRUE,nm,0.494155891,0.580886794,1.389175372,1.47113117,nan,nan,5.64481135,5.64481135,0.462528135
BN,TRUE,TRUE,nm,4.673405975,4.673405975,7.892393774,7.896418255,5.674907181,6.133808317,0.961610558,0.961610558,0.152489333
Ca(OH)2,TRUE,TRUE,nm,3.711340084,3.711340084,9.237022201,9.237022201,nan,nan,0.593382097,0.593382097,0.24163628
